CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
698,Germany,Female,52,1,107906.75,1,1,0,168886.39
667,France,Male,27,7,156811.74,1,1,1,149402.59
846,France,Female,34,10,142388.61,2,0,1,68393.64
549,France,Female,34,4,0.0,2,0,0,139463.57
510,France,Female,32,1,0.0,2,0,1,28515.17
739,France,Female,30,6,0.0,1,0,0,122604.44
680,France,Female,43,4,0.0,2,1,1,58761.33
662,France,Male,38,0,105271.56,1,0,1,179833.45
706,Germany,Male,32,5,88348.43,2,1,1,104181.78
652,Germany,Male,33,7,128135.99,1,1,0,158437.73
628,France,Female,38,3,0.0,2,1,1,48924.73
553,Germany,Female,25,7,128524.19,2,1,0,20682.46
714,Germany,Male,39,3,149887.49,2,1,0,63846.36
745,Germany,Male,35,4,98270.34,1,1,0,133617.43
746,France,Male,36,7,142400.77,1,1,1,193438.69
634,France,Male,34,3,145030.92,1,1,1,41820.65
678,France,Male,28,2,109137.12,1,1,1,58814.41
719,France,Female,42,4,0.0,1,1,0,28465.86
489,France,Female,38,5,117289.92,1,0,0,85231.88
588,Spain,Male,34,10,0.0,2,1,0,79078.91
588,Germany,Female,37,7,70258.88,2,1,0,139607.61
494,Germany,Male,37,5,107106.33,2,1,0,172063.09
493,France,Male,38,3,134006.77,1,1,0,89578.32
541,France,Male,29,7,127504.57,1,0,0,86173.92
788,France,Male,55,3,0.0,1,0,1,13288.46
622,Germany,Female,28,1,143124.63,2,1,0,81723.8
516,France,Male,46,2,0.0,2,1,1,169122.54
638,Spain,Male,30,9,136808.53,2,1,1,106642.97
488,France,Male,34,3,0.0,2,1,1,125979.36
548,Germany,Male,49,9,108437.89,1,0,0,127022.87
774,France,Female,35,3,121418.62,1,1,1,24400.37
711,Germany,Male,26,9,128793.63,1,1,0,19262.05
663,Germany,Male,49,7,116150.65,3,1,1,84358.71
767,Spain,Male,77,8,149083.7,1,1,1,190146.83
540,Germany,Male,35,7,127801.88,1,0,1,84239.46
505,Germany,Male,43,5,136855.94,2,1,0,171070.52
489,Germany,Male,28,1,79460.98,2,1,1,167973.63
759,Germany,Male,31,4,98899.91,1,1,1,47832.82
850,Germany,Male,49,8,98649.55,1,1,0,119174.88
781,France,Female,48,0,57098.96,1,1,0,85644.06
601,France,Male,74,2,0.0,2,0,1,51554.58
687,Germany,Male,38,4,117633.28,1,0,1,88396.6
571,France,Female,47,7,0.0,2,0,0,112366.98
752,France,Male,49,2,78653.84,1,1,0,7698.6
669,France,Female,43,1,160474.59,1,1,1,95963.14
559,France,Female,42,7,0.0,2,1,1,190040.29
723,France,Female,35,0,0.0,2,0,1,61290.99
651,France,Male,35,0,181821.96,2,0,1,36923.67
658,France,Male,42,8,102870.93,1,0,1,103764.55
554,Spain,Male,66,8,0.0,2,1,1,116747.62
795,Germany,Female,33,9,104552.72,1,1,1,120853.83
708,Spain,Female,41,5,0.0,1,0,1,157003.99
553,France,Male,33,4,118082.89,1,0,0,94440.45
449,Spain,Female,33,8,0.0,2,0,0,156792.89
639,Germany,Female,46,10,110031.09,2,1,1,133995.59
611,France,Female,53,7,0.0,2,0,1,156495.39
775,Spain,Male,29,10,0.0,2,1,1,68143.93
682,France,Female,42,0,0.0,1,0,1,91981.85
644,France,Male,50,9,76817.0,4,1,0,196371.13
762,Spain,Female,19,6,0.0,2,1,0,55500.17
551,France,Male,31,1,0.0,2,1,1,185105.44
841,France,Male,34,4,0.0,2,1,0,141582.66
551,Germany,Female,30,2,143340.44,1,1,0,145796.49
529,Germany,Male,29,4,135759.4,1,0,0,112813.79
780,Spain,Female,33,6,145580.61,1,1,1,154598.56
571,France,Female,53,2,0.0,2,1,0,28045.77
657,France,Male,33,1,84309.57,2,0,0,103914.4
728,Germany,Male,32,5,61825.5,1,1,1,156124.93
502,Germany,Female,57,3,101465.31,1,1,0,43568.31
589,France,Male,32,2,0.0,2,0,1,9468.64
679,France,Male,41,8,147726.98,3,1,0,172749.4
778,France,Male,38,3,145018.49,2,1,1,126702.41
470,Spain,Male,31,4,55732.92,2,1,1,103792.53
604,Germany,Male,25,7,165413.43,1,1,1,35279.74
694,Spain,Female,35,7,0.0,1,1,0,133570.43
718,France,Male,35,3,97560.16,1,1,1,53511.74
538,Spain,Male,68,9,0.0,2,1,0,110440.5
697,France,Female,39,6,151553.19,1,1,1,44946.29
